elapsed_sec,total_pss_kb,total_rss_kb,battery_temp_c,battery_level,thermal_status,foreground_window
211.8,458656,563952,34.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
217.3,458708,564004,34.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
222.8,459020,564316,34.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
228.3,459020,564316,34.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
233.8,459126,564316,35.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
239.3,459195,564384,35.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
244.8,459262,564472,35.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
251.2,459269,564480,34.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
256.7,459265,564476,35.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
262.2,459402,564612,35.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
267.7,459406,564616,35.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
273.2,459409,564620,35.3,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
278.6,459145,564356,35.3,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
284.1,459205,564416,35.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
289.7,459204,564416,35.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
295.2,459209,564420,35.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
300.7,459324,564536,35.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
307.1,459305,564528,35.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
312.7,459321,564544,35.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
318.1,459317,564540,35.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
323.6,459454,564676,35.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
329,459466,564688,35.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
334.5,459461,564684,35.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
339.9,459466,564688,35.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
345.4,459517,564740,35.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
350.8,459593,564816,36.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
356.3,459594,564816,36.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
361.8,459664,564888,36.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
368.2,459628,564852,36.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
373.6,459688,564912,36.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
379.1,459729,564952,36.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
384.5,459780,565004,36.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
390,459796,565020,36.3,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
395.4,459812,565040,36.3,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
400.8,459901,565128,36.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
406.3,459921,565148,36.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
411.7,459916,565144,36.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
417.2,459924,565152,36.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
422.6,459972,565200,36.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
429,460076,565304,36.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
434.5,460087,565380,36.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
439.9,460007,565300,36.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
445.4,460011,565304,36.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
450.8,460019,565312,36.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
456.3,460175,565468,36.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
461.7,460115,565424,36.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
467.1,460123,565432,36.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
472.6,460123,565432,36.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
478,460123,565432,36.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
483.4,460159,565468,36.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
489.8,460128,565444,37.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
495.3,460130,565440,36.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
500.7,460131,565440,37.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
506.2,460130,565440,37.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
511.7,460130,565440,37.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
517.1,460138,565448,37.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
522.5,460449,565760,37.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
528,460445,565756,37.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
533.4,460445,565756,37.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
538.9,460445,565756,37.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
544.3,460114,565696,37.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
550.7,460181,565728,37.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
556.2,460169,565716,37.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
561.6,460181,565728,37.3,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
567.1,460177,565724,37.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
572.5,460181,565728,37.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
578,460193,565740,37.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
583.4,460025,565572,37.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
588.9,460021,565568,37.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
594.3,460025,565572,37.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
599.8,460069,565616,37.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
605.2,460109,565656,37.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
611.7,459865,565412,37.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
617.3,459861,565408,37.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
622.8,459897,565444,37.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
628.3,459909,565456,37.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
633.7,459909,565456,37.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
639.2,459797,565344,37.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
644.6,460937,567120,38.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
